Transaction Date,Account,Transaction Description,Amount (USD)
2024-01-10,Business Checking,Office rent payment,-2800.00
2024-01-12,Business Checking,Microsoft Office subscription,-25.99
2024-01-15,Business Checking,Marketing materials - PrintHub,-145.67
2024-01-18,Business Checking,Internet service - Spectrum,-89.99
2024-01-20,Business Checking,Coffee supplies - Local Café,-78.45
2024-01-22,Business Checking,Software license - Zoom Pro,-19.99
2024-01-25,Business Checking,Client lunch - Bistro Main,-156.78
2024-01-28,Business Checking,Gas for company vehicle,-67.89
2024-01-30,Business Checking,Professional consultation,-450.00
2024-02-02,Business Checking,Office supplies - Staples,-89.99
2024-02-05,Business Checking,Cloud storage - Dropbox Business,-15.00
2024-02-08,Business Checking,Website hosting - HostGator,-12.95
2024-02-10,Business Checking,Equipment repair service,-234.50
2024-02-12,Business Checking,Insurance premium - State Farm,-189.00
2024-02-15,Business Checking,Training course - Udemy Business,-299.99
2024-02-18,Business Checking,Travel expenses - Hotel,-245.67
2024-02-20,Business Checking,Advertising - Facebook Ads,-567.89
2024-02-22,Business Checking,Legal fees - Attorney Smith,-890.00
2024-02-25,Business Checking,Bank service charges,-15.00
2024-02-28,Business Checking,Telecommunications - AT&T,-125.45
2024-03-01,Business Checking,Software subscription - Adobe,-79.99
2024-03-03,Business Checking,Office cleaning service,-150.00
2024-03-05,Business Checking,Parking fees downtown,-45.00
2024-03-08,Business Checking,Business cards printing,-67.89
2024-03-10,Business Checking,Equipment purchase - Dell,-1234.56
